2026-07-27;16:57:09;0,000;0,000;0,000;31,6101
2026-07-27;16:57:21;0,000;0,000;0,000;31,6101
2026-07-27;16:59:36;0,000;0,000;0,000;31,6101
2026-07-27;16:59:48;0,000;0,000;0,000;31,6101
2026-07-27;17:00:00;0,000;0,000;0,000;31,6101
2026-07-27;17:00:11;0,000;0,000;0,000;31,6101
2026-07-27;17:00:23;0,000;0,000;0,000;31,6101
2026-07-27;17:00:35;0,000;0,000;0,000;31,6101
2026-07-27;17:56:21;0,000;0,000;0,000;31,6101
2026-07-27;17:56:33;0,000;0,000;0,000;31,6101
2026-07-27;17:56:45;0,000;0,000;0,000;31,6101
2026-07-27;17:56:57;0,000;0,000;0,000;31,6101
2026-07-27;17:57:41;0,000;0,000;0,000;31,6101
2026-07-27;17:57:53;0,000;0,000;0,358;31,6104
2026-07-27;17:58:04;0,000;0,000;0,644;31,6108
2026-07-27;17:58:16;0,000;0,000;0,643;31,6114
2026-07-27;17:58:28;0,000;0,000;0,642;31,6119
2026-07-27;17:58:38;0,000;0,000;0,642;31,6123
2026-07-27;17:58:48;0,000;0,000;0,640;31,6127
2026-07-27;17:58:59;0,000;0,000;0,641;31,6132
2026-07-27;17:59:09;0,000;0,000;0,643;31,6136
2026-07-27;17:59:19;0,000;0,000;0,643;31,6141
2026-07-27;17:59:29;0,000;0,000;0,641;31,6145
2026-07-27;17:59:39;0,000;0,000;0,642;31,6149
2026-07-27;17:59:49;0,000;0,000;0,642;31,6153
2026-07-27;17:59:58;0,000;0,000;0,641;31,6157
2026-07-27;18:00:08;0,000;0,000;0,639;31,6162
2026-07-27;18:00:18;0,000;0,000;0,640;31,6166
2026-07-27;18:00:28;0,000;0,000;0,640;31,6170
2026-07-27;18:00:39;0,000;0,000;0,641;31,6175
2026-07-27;18:00:50;0,000;0,000;0,640;31,6179
2026-07-27;18:01:00;0,000;0,000;0,639;31,6184
2026-07-27;18:01:10;0,000;0,000;0,638;31,6188
2026-07-27;18:01:20;0,000;0,000;0,639;31,6192
2026-07-27;18:01:29;0,000;0,000;0,638;31,6196
2026-07-27;18:01:39;0,000;0,000;0,639;31,6200
2026-07-27;18:01:49;0,000;0,000;0,640;31,6205
2026-07-27;18:01:59;0,000;0,000;0,637;31,6209
2026-07-27;18:02:09;0,000;0,000;0,640;31,6213
2026-07-27;18:02:19;0,000;0,000;0,640;31,6217
2026-07-27;18:02:29;0,000;0,000;0,640;31,6222
2026-07-27;18:02:49;0,000;0,000;0,000;31,6222
2026-07-27;18:02:59;0,000;0,000;0,000;31,6222
2026-07-27;18:03:08;0,000;0,000;0,000;31,6222
2026-07-27;18:03:18;0,000;0,000;0,000;31,6222
2026-07-27;18:03:28;0,000;0,000;0,000;31,6222
2026-07-27;18:03:38;0,000;0,000;0,000;31,6222
2026-07-27;18:03:48;0,000;0,000;0,000;31,6222
2026-07-27;18:03:58;0,000;0,000;0,000;31,6222
2026-07-27;18:04:08;0,000;0,000;0,000;31,6222
2026-07-27;18:04:18;0,000;0,000;0,000;31,6222
2026-07-27;18:04:28;0,000;0,000;0,000;31,6222
2026-07-27;18:04:39;0,000;0,000;0,000;31,6222
2026-07-28;17:24:13;0,000;0,000;0,000;31,6222
2026-07-28;17:24:24;0,000;0,000;0,000;31,6222
2026-07-28;17:24:34;0,000;0,000;0,000;31,6222
2026-07-28;17:24:44;0,000;0,000;0,000;31,6222
2026-07-28;17:24:58;0,000;0,000;0,000;31,6222
2026-07-28;17:25:10;0,000;0,000;0,000;31,6222
2026-07-28;17:25:22;0,000;0,000;0,000;31,6222
2026-07-28;17:25:33;0,000;0,000;0,000;31,6222
2026-07-28;17:35:24;0,000;0,000;0,000;31,6222
2026-07-28;17:35:36;0,000;0,000;0,000;31,6222
2026-07-28;17:35:48;0,000;0,000;0,000;31,6222
